name,matches,wins,losses,draws,win_rate,decisions,attack_menus,attacks,missed_attack_menus,attack_turns,attacked_turns,abandoned_attack_turns,timeouts,avg_first_attack_turn,deck_count,top_team,examples
01_zoroark190_88135168,300,287,13,0,0.957,13590,4700,2219,2481,2219,2219,0,0,4.54,90,zoroark190,88135168 88135718 88136757 88138839 88139351
02_Taichicchi_88114269,300,291,9,0,0.97,13455,4139,1757,2382,1757,1757,0,0,3.85,82,__Taichicchi__,88114269 88114272 88135168 88139351 88141464
03_Yushin_Ito_88136757,300,231,69,0,0.77,12641,3254,1446,1808,1446,1446,0,0,4.43,40,Yushin Ito,88136757 88140434 88142495 88183542 88192025
04_213tubo_88114272,300,290,10,0,0.967,13443,3795,1674,2121,1674,1674,0,0,4.79,39,213tubo,88114272 88140934 88143558 88170362 88189899
05_MUHAMMAD_UMER_FAROOQ_88247233,300,242,58,0,0.807,12259,4249,1922,2327,1922,1922,0,0,3.56,34,MUHAMMAD UMER FAROOQ,88247233 88247782 88249366 88249914 88250446
06_Majkel1337_88139876,300,274,26,0,0.913,14146,5462,2382,3080,2382,2382,0,0,4.22,23,Majkel1337,88139876 88195735 88197906 88199435 88204121
07_MUHAMMAD_UMER_FAROOQ_88114269,300,272,28,0,0.907,14689,5595,2453,3142,2453,2453,0,0,3.97,13,MUHAMMAD UMER FAROOQ,88114269 88143033 88143428 88143960 88145058
08_flg_88280592,300,295,5,0,0.983,13512,4682,2210,2472,2210,2210,0,0,4.41,11,flg,88280592 88282965 88285882 88286403 88286928
09_Budew_88139877,300,299,1,0,0.997,10708,3176,1429,1747,1429,1429,0,0,4.18,9,Budew,88139877 88147227 88149380 88217155 88223586
10_pop-ketle_88192363,300,293,7,0,0.977,11027,3974,1678,2296,1678,1678,0,0,3.68,7,pop-ketle,88192363 88143428 88149240 88249914 88261149
