name,matches,wins,losses,draws,win_rate,decisions,attack_menus,attacks,missed_attack_menus,attack_turns,attacked_turns,abandoned_attack_turns,timeouts,avg_first_attack_turn,deck_count,top_team,examples
60_daiki_pyonkichi_88146122,60,54,6,0,0.9,2375,726,296,430,296,296,0,0,3.7,1,daiki_pyonkichi,88146122
61_ei_ei_ei_yikuso_88281365,60,36,24,0,0.6,2523,589,264,325,264,264,0,0,4.42,1,ei ei ei yikuso,88281365
62_goonew_88149906,60,52,8,0,0.867,2220,599,255,344,255,255,0,0,4.32,1,goonew,88149906
63_itohudo_88246713,60,46,14,0,0.767,2646,808,395,413,395,395,0,0,4.59,1,itohudo,88246713
64_jin_hiratsuka_88264935,60,55,5,0,0.917,1909,560,246,314,246,246,0,0,3.67,1,jin hiratsuka,88264935
65_minoruno_88145058,60,59,1,0,0.983,2348,908,393,515,393,393,0,0,3.66,1,minoruno,88145058
66_pattikamo_88156894,60,58,2,0,0.967,2394,877,420,457,420,420,0,0,3.8,1,pattikamo,88156894
67_pickles0923_88156264,60,58,2,0,0.967,2015,581,257,324,257,257,0,0,3.93,1,pickles0923,88156264
68_poket_monster_88155258,60,41,16,3,0.683,2050,469,189,280,189,189,0,0,3.91,1,poket monster,88155258
69_qb_88249393,60,57,3,0,0.95,2586,824,362,462,362,362,0,0,4.79,1,qb,88249393
70_sai_vineeth_88154720,60,57,3,0,0.95,2316,786,328,458,328,328,0,0,4.12,1,sai vineeth,88154720
71_sakura_atm_88148218,60,51,9,0,0.85,2698,926,420,506,420,420,0,0,3.93,1,sakura_atm,88148218
72_wonjae_88156364,60,60,0,0,1.0,2586,874,377,497,377,377,0,0,4.67,1,wonjae,88156364
73_yasuna_88154188,60,58,2,0,0.967,2401,782,326,456,326,326,0,0,4.14,1,yasuna,88154188
74_yyou97_88253125,60,57,3,0,0.95,2210,668,296,372,296,296,0,0,4.52,1,yyou97,88253125
75_deck_88170362,60,43,17,0,0.717,2510,789,347,442,347,347,0,0,3.5,1,まーやん,88170362
76_deck_88153647,60,59,1,0,0.983,3021,1250,579,671,579,579,0,0,3.75,1,ジェニファー,88153647
77_deck_88258639,60,59,1,0,0.983,2632,933,396,537,396,396,0,0,3.63,1,タニシ,88258639
78_deck_88247782,60,60,0,0,1.0,2571,977,452,525,452,452,0,0,4.23,1,一石三頭,88247782
79_deck_88222802,60,59,1,0,0.983,1728,383,171,212,171,171,0,0,4.03,1,溶岩,88222802
80_deck_88273894,60,51,9,0,0.85,2081,565,254,311,254,254,0,0,4.09,1,田原,88273894
