episode_id,evaluation_status,original_outcome,result,comparison,wins,losses,draws,win_rate,replacement_kind,replacement_seat,replacement_team,opponent_team,original_first_player,first_player_forced,scripted_fraction,opponent_fidelity,primary_attacked_turns,primary_attack_turns,primary_abandoned_attack_turns,loss_triage_signal,path,avg_first_attack_turn,baseline_result,baseline_win_rate,candidate_deck_sha256,decisive_win_rate,first_player_preserved_trials,forced_first_player_decisions,kaggle_seed_metadata,local_engine_seed_applied,observed_first_players,opponent_deck_sha256,opponent_exceptions,opponent_fallback_decisions,opponent_high_confidence_scripted,opponent_script_decisions,opponent_scripted_decisions,primary_attack_menus,primary_attacks,protocol_id,regression_vs_baseline,replay_module_version,replay_schema_version,replay_sha256,replay_statuses,replay_steps,result_reasons,timeouts,trials,win_rate_ci95_high,win_rate_ci95_low,win_rate_delta_vs_baseline
88140397,ok,loss,win,improved,1,0,0,1.0,public_loser,0,TTT Is All You Need,zoroark190,0,1,0.666667,semantic_script_plus_generic_fallback,6,6,0,,scouting_replays/archive_import/88140397.json,3.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,1,1,1379029214,0,"{""0"": 1}",9edeacae98d726ac8f6a5bb07d4225c5690a5fed36f71c21f1982d99fb35ec67,0,6,0,57,12,17,6,counterfactual-replay-v2,,1.32.2,1,2d3d2663f279310fef9cc5d508d3675d88b80280100cf72987662e087454a105,"[""DONE"", ""DONE""]",113,"{""no_active_pokemon"": 1}",0,1,1.0,0.206549,
88140434,ok,loss,win,improved,1,0,0,1.0,public_loser,1,zoroark190,Benarg,0,1,0.5,semantic_script_plus_generic_fallback,8,8,0,,scouting_replays/archive_import/88140434.json,2.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,1,1,1957322919,0,"{""0"": 1}",3f4515092dc59df397f365a9b79c7cf0c1cb73b9aa38bc47c1b18e9df4c2fdaf,0,23,2,64,23,19,8,counterfactual-replay-v2,,1.32.2,1,ee7b919140fea2fb896f2be68d6030bc115386dbdb9d05e68be4882fc5806fc9,"[""DONE"", ""DONE""]",126,"{""prizes"": 1}",0,1,1.0,0.206549,
88140934,ok,loss,win,improved,1,0,0,1.0,public_loser,0,zoroark190,Dominic Peel,0,1,0.7,semantic_script_plus_generic_fallback,2,2,0,,scouting_replays/archive_import/88140934.json,3.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,1,1,624181,0,"{""0"": 1}",e2e03fe8ef9592b1204c159a7725da3945675fa872b1e18baca550560503a78e,0,3,0,81,7,3,2,counterfactual-replay-v2,,1.32.2,1,b0eede64720462ddf17e6a122963486022ea09eab3337bc58af04c03b312a149,"[""DONE"", ""DONE""]",152,"{""no_active_pokemon"": 1}",0,1,1.0,0.206549,
88141449,ok,loss,win,improved,1,0,0,1.0,public_loser,1,THIRD PTCG Club,zoroark190,0,1,0.493827,semantic_script_plus_generic_fallback,9,9,0,,scouting_replays/archive_import/88141449.json,2.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,1,1,338499582,0,"{""0"": 1}",9edeacae98d726ac8f6a5bb07d4225c5690a5fed36f71c21f1982d99fb35ec67,0,41,0,81,40,18,9,counterfactual-replay-v2,,1.32.2,1,ef31d56492c8f1fce139e7ae0b4c107cd6517299e6334c4fd87faeaaa64c0738,"[""DONE"", ""DONE""]",131,"{""prizes"": 1}",0,1,1.0,0.206549,
88141464,ok,loss,win,improved,1,0,0,1.0,public_loser,1,zoroark190,szlachetny snieg,0,1,0.777778,semantic_script_plus_generic_fallback,3,3,0,,scouting_replays/archive_import/88141464.json,2.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,1,1,1667647780,0,"{""0"": 1}",c20a8a46f5c635773754f03103652f5c534b13dc622448ed2255a97234c103af,0,4,1,78,14,5,3,counterfactual-replay-v2,,1.32.2,1,147c0932f97ce4ff6ce58cab1389b6a96f58ab85eb0ae0114b3094f0b94160af,"[""DONE"", ""DONE""]",142,"{""no_active_pokemon"": 1}",0,1,1.0,0.206549,
88141972,ok,loss,win,improved,1,0,0,1.0,public_loser,0,e-toppo + kurupical,zoroark190,0,1,0.480769,semantic_script_plus_generic_fallback,13,13,0,,scouting_replays/archive_import/88141972.json,3.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,1,1,778264390,0,"{""0"": 1}",9edeacae98d726ac8f6a5bb07d4225c5690a5fed36f71c21f1982d99fb35ec67,0,54,3,100,50,28,13,counterfactual-replay-v2,,1.32.2,1,47adad5d0fba9feec659c4b4de66682c193dd0d7d3ecf4fb14271a029c135552,"[""DONE"", ""DONE""]",186,"{""prizes"": 1}",0,1,1.0,0.206549,
88142495,ok,loss,win,improved,1,0,0,1.0,public_loser,1,zoroark190,Majkel1337,0,1,0.8,semantic_script_plus_generic_fallback,2,2,0,,scouting_replays/archive_import/88142495.json,2.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,1,1,1161647742,0,"{""0"": 1}",3f4515092dc59df397f365a9b79c7cf0c1cb73b9aa38bc47c1b18e9df4c2fdaf,0,2,0,60,8,5,2,counterfactual-replay-v2,,1.32.2,1,3649bae242ee805c3e77087996b4aa7d806857f8431f7721cab09cf5d12072e5,"[""DONE"", ""DONE""]",116,"{""no_active_pokemon"": 1}",0,1,1.0,0.206549,
88143033,ok,loss,win,improved,1,0,0,1.0,public_loser,0,Dieter,zoroark190,0,1,0.231579,semantic_script_plus_generic_fallback,8,8,0,,scouting_replays/archive_import/88143033.json,23.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,1,1,582386502,0,"{""0"": 1}",9edeacae98d726ac8f6a5bb07d4225c5690a5fed36f71c21f1982d99fb35ec67,0,73,0,92,22,13,8,counterfactual-replay-v2,,1.32.2,1,5a30e933f9061c5edc391bbc16b16a473393829b1c4827624840be0858e7c17a,"[""DONE"", ""DONE""]",166,"{""prizes"": 1}",0,1,1.0,0.206549,
88143428,ok,loss,win,improved,1,0,0,1.0,our_agent,1,MUHAMMAD UMER FAROOQ,Snow Yan,0,1,1.0,semantic_script_only,1,1,0,,scouting_replays/our_agent/losses/88143428.json,10.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,1,1,1741536476,0,"{""0"": 1}",76812200d26122ba4619f859b0f24ba9eaa44fcd1a7cc6ec49a295c51da093c7,0,0,0,28,10,1,1,counterfactual-replay-v2,,1.32.2,1,ddc2be5b80480f2a8f917455a24caa09d9c4f32e321af4b8f7992f5692ca9bbd,"[""DONE"", ""DONE""]",33,"{""no_active_pokemon"": 1}",0,1,1.0,0.206549,
88143558,ok,loss,win,improved,1,0,0,1.0,public_loser,1,KawattaTaido,zoroark190,0,1,0.367647,semantic_script_plus_generic_fallback,8,8,0,,scouting_replays/archive_import/88143558.json,8.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,1,1,1215262946,0,"{""0"": 1}",9edeacae98d726ac8f6a5bb07d4225c5690a5fed36f71c21f1982d99fb35ec67,0,43,0,55,25,20,8,counterfactual-replay-v2,,1.32.2,1,bd6fc948a5e039710265c1a982937f4e7d89c0a2c913f4900ef39b96d1b7ceaa,"[""DONE"", ""DONE""]",105,"{""prizes"": 1}",0,1,1.0,0.206549,
88143960,ok,loss,win,improved,1,0,0,1.0,our_agent,1,MUHAMMAD UMER FAROOQ,Yuminosuke Sato,1,1,0.863636,semantic_script_plus_generic_fallback,5,5,0,,scouting_replays/our_agent/losses/88143960.json,3.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,1,1,1491587157,0,"{""1"": 1}",83bf5baa01edef8afb83526eedaf6076b41e99d8ef111d1ac072486b36d53d03,0,3,4,79,19,9,5,counterfactual-replay-v2,,1.32.2,1,d7a11faa34369381d2fc0e97264637d6da9dc3bf3314ecbb266d9600e77e7a9f,"[""DONE"", ""DONE""]",189,"{""no_active_pokemon"": 1}",0,1,1.0,0.206549,
88144074,ok,loss,win,improved,1,0,0,1.0,public_loser,0,Rmy,zoroark190,0,1,0.282353,semantic_script_plus_generic_fallback,9,9,0,,scouting_replays/archive_import/88144074.json,3.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,1,1,621455948,0,"{""0"": 1}",9edeacae98d726ac8f6a5bb07d4225c5690a5fed36f71c21f1982d99fb35ec67,0,61,1,58,24,18,9,counterfactual-replay-v2,,1.32.2,1,66a9845d874778b1c280650cb8b464a90696b83f5d275bad02d0ba78118240ea,"[""DONE"", ""DONE""]",120,"{""prizes"": 1}",0,1,1.0,0.206549,
88144497,ok,win,win,preserved_win,1,0,0,1.0,our_agent,0,MUHAMMAD UMER FAROOQ,curry panda ex,0,1,0.791667,semantic_script_plus_generic_fallback,5,5,0,,scouting_replays/our_agent/wins/88144497.json,3.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,1,1,1937863791,0,"{""0"": 1}",fed6cd8c56270382d100d737e16fa67bcf947b16978d3e639a77d549fd4df688,0,5,1,38,19,10,5,counterfactual-replay-v2,,1.32.2,1,af4c204ccf21d230d148163981bea19dc781963abd4a7f972a1c3d55d3582c70,"[""DONE"", ""DONE""]",87,"{""no_active_pokemon"": 1}",0,1,1.0,0.206549,
88145058,ok,loss,win,improved,1,0,0,1.0,our_agent,1,MUHAMMAD UMER FAROOQ,minoruno,0,1,0.684211,semantic_script_plus_generic_fallback,5,5,0,,scouting_replays/our_agent/losses/88145058.json,2.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,1,1,1891393758,0,"{""0"": 1}",1e5ec809720979b43467c979e1a47cfc34369808ada78e99c5bab7f01c994674,0,6,0,65,13,11,5,counterfactual-replay-v2,,1.32.2,1,f1a0ee3f7e1ad89bf6aa4662baed533d68926d19eb53da2de8c3a070b5cc0d50,"[""DONE"", ""DONE""]",126,"{""no_active_pokemon"": 1}",0,1,1.0,0.206549,
88145588,ok,loss,win,improved,1,0,0,1.0,our_agent,0,MUHAMMAD UMER FAROOQ,HATODADON,0,1,0.6875,semantic_script_plus_generic_fallback,3,3,0,,scouting_replays/our_agent/losses/88145588.json,5.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,1,1,40721111,0,"{""0"": 1}",44675dbaf63a20e1948f15c9e137edd3743fd7ba842eddd5633a8e19e94e6020,0,5,0,52,11,8,3,counterfactual-replay-v2,,1.32.2,1,679947ac81a522383c50f7848a04d28006f6e43350db6bf2ca5c62329a9e9b10,"[""DONE"", ""DONE""]",76,"{""no_active_pokemon"": 1}",0,1,1.0,0.206549,
88145696,ok,loss,win,improved,1,0,0,1.0,public_loser,0,zoroark190,PP kawada,0,1,0.327586,semantic_script_plus_generic_fallback,8,8,0,,scouting_replays/archive_import/88145696.json,3.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,1,1,1885040257,0,"{""0"": 1}",08f43500c0cba321ab5422140008ad0f467a489f3ca1365a2331b6c6594fc8fc,0,39,0,65,19,15,8,counterfactual-replay-v2,,1.32.2,1,f06fa9349e664f505f5eca10dcc25a3617a4144dffd1738a98ed4ee0a826f3c9,"[""DONE"", ""DONE""]",128,"{""prizes"": 1}",0,1,1.0,0.206549,
88146122,ok,loss,win,improved,1,0,0,1.0,our_agent,0,MUHAMMAD UMER FAROOQ,daiki_pyonkichi,0,1,0.615385,semantic_script_plus_generic_fallback,7,7,0,,scouting_replays/our_agent/losses/88146122.json,3.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,1,1,289295541,0,"{""0"": 1}",422f71a3da4991ceb92e3168084452089ebca9e15fee1b1811dad08a83a6b3c9,0,20,6,85,32,17,7,counterfactual-replay-v2,,1.32.2,1,a04e6c975a905427b095bcef015db7681cebd4ac529c9ef7307cc16c27085a1a,"[""DONE"", ""DONE""]",208,"{""no_active_pokemon"": 1}",0,1,1.0,0.206549,
